Town,Andover,Ansonia,Ashford,Avon,Barkhamsted,Beacon Falls,Berlin,Bethany,Bethel,Bethlehem,Bloomfield,Bolton,Bozrah,Branford,Bridgeport,Bridgewater,Bristol,Brookfield,Brooklyn,Burlington,Canaan,Canterbury,Canton,Chaplin,Cheshire,Chester,Clinton,Colchester,Colebrook,Columbia,Cornwall,Coventry,Cromwell,Danbury,Darien,Deep River,Derby,Durham,East Granby,East Haddam,East Hampton,East Hartford,East Haven,East Lyme,East Windsor,Eastford,Easton,Ellington,Enfield,Essex,Fairfield,Farmington,Franklin,Glastonbury,Goshen,Granby,Greenwich,Griswold,Groton,Guilford,Haddam,Hamden,Hampton,Hartford,Hartland,Harwinton,Hebron,Kent,Killingly,Killingworth,Lebanon,Ledyard,Lisbon,Litchfield,Lyme,Madison,Manchester,Mansfield,Marlborough,Mashantucket,Meriden,Middlebury,Middlefield,Middletown,Milford,Monroe,Montville,Morris,Naugatuck,New Britain,New Canaan,New Fairfield,New Hartford,New Haven,New London,New Milford,Newington,Newtown,Norfolk,North Branford,North Canaan,North Haven,North Stonington,Norwalk,Norwich,Old Lyme,Old Saybrook,Orange,Oxford,Plainfield,Plainville,Plymouth,Pomfret,Portland,Preston,Prospect,Putnam,Redding,Ridgefield,Rocky Hill,Roxbury,Salem,Salisbury,Scotland,Seymour,Sharon,Shelton,Sherman,Simsbury,Somers,South Windsor,Southbury,Southington,Sprague,Stafford,Stamford,Sterling,Stonington,Stratford,Suffield,Thomaston,Thompson,Tolland,Torrington,Trumbull,Union,Vernon,Voluntown,Wallingford,Warren,Washington,Waterbury,Waterford,Watertown,West Hartford,West Haven,Westbrook,Weston,Westport,Wethersfield,Willington,Wilton,Winchester,Windham,Windsor,Windsor Locks,Wolcott,Woodbridge,Woodbury,Woodstock
Total,79,625,127,681,123,213,1312,169,830,53,1301,156,91,1274,11199,52,2828,786,214,185,58,117,381,86,1158,115,427,465,40,145,58,420,969,6183,1387,135,812,222,207,170,245,2960,1164,646,655,48,267,305,1442,132,3661,1755,124,1141,70,290,3361,294,1522,748,279,3669,43,13182,30,217,150,62,676,133,175,304,217,388,31,555,3043,794,238,2,4204,540,150,3011,3217,791,794,69,1108,3093,812,225,235,12918,1802,1104,1620,1574,48,422,121,2254,244,6148,2474,303,550,1829,352,574,1086,411,107,307,271,272,343,364,754,1090,88,109,144,40,736,86,1572,90,650,203,811,902,2100,59,276,9997,58,793,3186,398,436,271,451,1500,2037,104,1465,67,2420,21,121,10299,1091,759,3127,3257,247,106,2270,1567,218,886,478,896,2039,610,440,548,258,159
Fatal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,2,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,1,5,0,0,0,1,0,2,0,0,0,0,0
Injury,24,167,45,139,33,56,372,60,151,14,354,43,26,324,3151,19,672,185,65,63,14,32,73,27,293,26,86,115,16,52,18,109,222,1253,313,27,151,57,61,51,65,776,298,150,188,19,81,83,448,30,753,374,35,268,28,71,568,69,274,180,82,789,7,3550,13,51,42,20,146,45,56,69,56,95,10,131,896,161,60,0,1087,140,40,687,1008,194,180,18,251,907,167,53,65,3602,359,282,446,337,15,117,30,601,49,1158,505,82,85,468,88,146,310,125,33,74,82,76,77,69,113,290,18,40,29,15,164,21,377,28,134,58,258,194,493,14,73,1884,18,205,715,117,102,81,106,311,469,24,357,23,592,5,31,2721,268,187,911,802,73,26,547,331,52,203,94,227,505,148,127,156,77,51
No_Injury,55,455,82,540,89,157,939,109,679,38,943,113,65,945,7978,33,2139,599,148,120,44,84,307,59,862,89,331,349,24,92,40,298,739,4901,1068,108,659,164,146,116,179,2173,862,495,464,29,184,222,983,101,2896,1376,89,866,42,217,2784,223,1236,566,196,2864,35,9628,16,166,108,42,528,88,119,234,160,290,21,421,2137,623,177,2,3109,397,108,2319,2208,594,608,51,847,2166,641,172,167,9287,1438,819,1172,1232,33,302,91,1646,195,4970,1964,220,465,1358,262,425,773,279,73,231,188,195,266,294,635,795,69,69,114,25,570,63,1187,62,513,144,549,702,1600,45,202,8088,39,582,2455,281,331,188,344,1176,1548,80,1105,44,1807,16,89,7521,819,563,2205,2449,172,79,1716,1232,165,683,379,663,1523,460,312,388,181,107
