"Vehicle Make",Count
maseratti,1
landc,1
frht.,1
wasp,1
sterlingtrucks,1
1,1
19-28291,1
hondaa,1
suzukivehicle,1
taoi,1
19-103740,1
0anur4,1
cfs#18-15540,1
evadingnon-cont,1
frth,1
intern'l,1
genuinescooter,1
aandr,1
betterbuilttr,1
rvso,1
surett,1
appl,1
trum,1
orio,1
fleetaut,1
mercedes-benc,1
infniti,1
cadilillac,1
miles,1
friehgt,1
fus,1
checrolet,1
nissan2017,1
cherokee,1
chevrlet,1
vortex,1
forklift,1
inifiniti,1
frtln,1
wawasaki,1
4dr,1
"frht
",1
"internationalinds.,inc.",1
0,1
112589,1
d,1
alta49,1
harlerydavidso,1
1900033026,1
freht,1
hunadai,1
jinagsu,1
"nova60""",1
gumman,1
grtdane,1
blubrd,1
sneal,1
motan,1
es350,1
1hgcr2f86ea228552,1
cfs#19-12457,1
satrun,1
galaxy,1
u.s.postaltruck,1
ifiniti,1
ryder,1
intl4400,1
freightman,1
volkswasgen,1
engine16,1
u-haul,1
ferber,1
chrysl,1
1673432,1
jayc,1
"camsuperline,",1
loncoln,1
hintrk,1
mgb,1
?nissan,1
dieselurbantransit,1
huds,1
magna,1
gry,1
osca,1
750newflyer,1
scag,1
mitsubihi,1
tpyota,1
vovlvo,1
noncontc,1
mazds,1
gd,1
takeuchi,1
packard,1
grummind,1
fiord,1
grooman,1
14351,1
wan,1
mini-coope,1
chevorolet,1
usgovernment,1
hmst,1
motiv,1
xfiniti,1
k2,1
mitz,1
merceds,1
for.,1
quality,1
hybridtransit,1
versa,1
calkins,1
quintano,1
etnyr,1
mazdfa,1
cranecarri,1
toyota/honda,1
"rei
",1
bilja,1
tomos,1
hoonda,1
roadmaste,1
mbw,1
possiblygmc,1
servicebus,1
mitsibishi,1
subaruimpala,1
1500435725,1
strln,1
uti,1
fordeconoline,1
hytrsemi-trailer,1
toamotors,1
mobilesweep,1
uhau,1
aust,1
sion,1
citytransit,1
fdx4fs2eda3234,1
snowbeer,1
bluebirdbodyco.,1
gmmc,1
1900287673,1
rosenbauer,1
snopro,1
vesp,1
jeepwrangler,1
catipillar,1
kmepumper,1
hada,1
19-93913,1
ptbt,1
taomotor,1
pt,1
chevroet,1
spart,1
plrs,1
hunday,1
itn,1
itl,1
maxima,1
19-61982,1
frht`,1
mobilityventures,1
taioi,1
freightln,1
bigtextrailer,1
suaru,1
uknwn,1
gauntlet,1
mcflyer,1
witz,1
egil,1
ke,1
chevyr,1
auid,1
cheyy,1
toyotya,1
tr,1
uk,1
mercdes,1
onyxf,1
neufl,1
bering,1
int(tractortrailer),1
u.s.postaldel,1
landrov,1
jiaj,1
gradall,1
diesel/electric,1
chevrolett,1
inifniti,1
sutp,1
fright.,1
cadl,1
fod,1
buck,1
audu,1
cfs#19-41256,1
international7500sba6x4,1
tabara,1
trump,1
gord,1
mifv,1
chever,1
starcraft,1
talbert,1
tri,1
stearns,1
grumann,1
pec2,1
evo-eco,1
foste,1
jpeg,1
ducat,1
gdt,1
gmcsierra,1
cfs#19-4699,1
uspsdeliveryvehicle,1
americanlafranc,1
18-110085,1
horse,1
mitsubichi,1
luxus,1
cyprus,1
conway,1
prevo,1
hoda,1
peterbu,1
yoyota,1
noncontact,1
morr,1
stacr,1
spartanmotors,1
misc,1
juguar,1
yz450f,1
upnext,1
bmmw,1
km,1
emerg,1
mercedesbenzi,1
italjet,1
camsuperlineinc,1
kwcons,1
thomams,1
internationalvehicle,1
x3,1
gxr,1
ningbo,1
nlfiretruck,1
merecedes,1
shanghai,1
hondamisuse,1
19-113505,1
mecedesbenz,1
cn19-42177,1
1967257,1
vlvo,1
fford,1
vermermfg.,1
1900289023,1
toroblower,1
grummangm,1
mph,1
19-2237,1
megamoto,1
icio,1
yamahamotorcyc,1
datsu,1
flexor,1
evadingresponsibility,1
toyotla,1
truc,1
jaquar,1
hondacrv,1
huyandi,1
caseih,1
yespa,1
bike,1
jetson,1
motorco,1
newm,1
brpcan-am,1
hodnda,1
ezhauler,1
subarau,1
cust,1
off-roadvehicle,1
posche,1
sterlingtruck,1
kjia,1
motorpowerind,1
kubutabicycle,1
inernational,1
cn20-26508,1
20-80510,1
freespirit,1
"kenw
",1
cranecarry,1
hundia,1
gundman,1
rugb,1
frhtliner,1
nissanrogue,1
s1954,1
fiesta,1
"venturaboats,",1
volksawgon,1
cfwolf,1
mitshi,1
peterbuiltmotors,1
19-100779,1
tacoma,1
tbx,1
bwsmanufacturing,1
20-42771,1
infinityornissan,1
polarmfg,1
moder,1
homemade1991,1
mo,1
evade19-11768,1
wstrnstr,1
honad,1
v.w,1
uspostal,1
huynda,1
garbagetruck,1
kew,1
1914984,1
ptrb388,1
lexuss,1
buddy,1
coop,1
hydundai,1
unlisted,1
16.v,1
2043453,1
19-77980,1
wolkswagen,1
fordq,1
freightlinertrucks,1
rav4,1
chrevrolet,1
brp,1
grumin-allied,1
lndrv,1
/waba,1
1500352943,1
fiestas,1
owned,1
coach,1
dooson,1
gens,1
20-20790,1
rodgersbrotherscorp,1
bigripper,1
internatl,1
20-36284,1
peterbrilt,1
elkhart,1
lbt1,1
willy,1
youota,1
