<<<<<<< HEAD
﻿Latitude,Longitude
41.29048700,-72.94112200
41.82542200,-72.89573100
41.32899300,-72.93243900
41.17341982,-73.18765171
41.39659700,-73.45321800
41.25281200,-72.99999500
41.30973300,-72.73165900
41.68958600,-72.79683300
41.19268800,-73.15663200
41.77444200,-72.34038600
41.22349900,-73.17592700
41.61493300,-73.06118200
41.29027100,-72.96747800
42.02668300,-72.72485500
41.33247028,-72.79976165
41.81832500,-72.50253500
41.33847300,-72.90388700
41.38748400,-72.00693000
41.74258400,-72.67258600
41.77784600,-72.68542800
41.74165400,-72.67238300
41.74583000,-72.67683600
41.67167000,-72.79747100
41.29904200,-72.88821500
41.30729900,-72.96973100
41.33791100,-72.93514300
41.48201352,-72.07172069
41.57616800,-72.32208400
41.74347100,-71.95986400
41.76685600,-73.46450300
41.23912000,-73.05263700
41.37562900,-72.90846700
41.58240900,-73.05300800
41.56537200,-72.48011100
41.59372100,-72.49006700
41.11526500,-73.38713200
41.30796000,-72.89824100
41.12235473,-73.41303571
41.66932544,-72.78153829
41.54038500,-72.79460000
41.30796000,-72.89824100
41.68374000,-72.70989200
41.72669200,-72.77385400
41.47409000,-72.77250500
41.77840100,-72.67639800
41.38064800,-72.89221300
42.00159000,-73.37090000
41.90841700,-72.71100800
41.41864000,-73.49216500
41.30836500,-72.90492900
41.29461100,-72.93020800
41.65769200,-72.96897900
41.43438600,-71.83250800
41.74071600,-72.43647600
41.55818400,-73.04887000
41.47658483,-73.39828686
41.34455600,-73.12253900
41.40760900,-73.45595300
41.84845800,-72.95041600
41.54806300,-72.83622100
41.81765100,-72.66885100
41.64405300,-72.27818400
41.65364100,-73.07880100
41.79457600,-72.92553000
41.53632400,-73.07968200
41.31105800,-73.04377500
41.16950800,-73.36181900
41.98542300,-72.58867700
41.91074500,-72.66703800
41.92960225,-72.30797817
41.21613600,-73.18178200
41.85658700,-72.29989300
41.47058900,-72.55521500
41.56770500,-72.03860000
41.77136600,-72.67870600
41.38998900,-73.51077500
41.94357400,-73.05268800
41.32432100,-72.88121500
41.96505700,-72.64229200
41.83477700,-72.66510500
41.47199600,-73.28879700
41.26623900,-73.19948200
41.66575500,-72.60333800
41.80716200,-71.97622700
41.79895000,-72.29421600
41.59665500,-72.67000900
41.55782500,-72.32313900
41.37117300,-72.12488500
41.99746400,-72.81693000
41.46353300,-71.98992500
41.61048645,-72.89919842
41.93640900,-72.60742800
41.38420200,-73.07817500
41.95962300,-72.47585900
41.12302800,-73.34537500
41.69538000,-73.06874000
41.87764511,-72.97813215
41.97956800,-72.40335600
41.54977400,-72.81631800
41.73120300,-72.20323400
41.36344600,-71.96305800
