Latitude,Longitude
41.30887000,-72.89703000
41.67006600,-72.71777400
41.38469600,-72.15754800
41.18218400,-73.20860900
41.19859500,-73.19662000
41.80042100,-72.58704500
41.91845600,-72.54608600
41.14098500,-73.26094300
41.41209500,-73.43589100
41.78279400,-72.31283800
41.69690099,-72.85720396
41.13116600,-73.42350800
41.20920800,-73.01886400
41.76411300,-72.67390700
41.23671700,-73.03225300
41.23235900,-73.05797900
41.23570900,-73.03111100
41.76576600,-72.67299100
41.78386800,-72.67518500
41.78625600,-72.68379800
41.21213900,-73.08652600
41.23203200,-72.99646600
41.23315300,-73.04362900
41.33843900,-73.38097800
41.77925000,-72.74615000
41.86734900,-72.76178900
41.18997000,-73.21244100
41.79500600,-72.69682800
41.75288200,-72.67436200
41.79682000,-72.66430000
41.79193400,-72.69513300
41.76982600,-72.67082800
41.74118400,-72.69425900
41.32118700,-72.87485700
41.69821500,-73.01935700
41.27030400,-73.45253600
41.77326400,-72.58125500
41.53685552,-73.01715428
41.54603900,-73.02244400
41.33287100,-73.06586800
41.37583000,-73.42484200
41.21500700,-73.21263600
41.18141800,-73.19475300
41.18725700,-73.18349300
41.19687200,-73.21835600
41.17340948,-73.17136042
41.69564000,-72.90342900
41.42914800,-73.47832400
41.06019400,-73.48816600
41.78148100,-72.67610000
41.78340500,-72.52322600
41.20428200,-73.09614700
41.22356400,-73.01651600
41.22241200,-73.02815900
41.22744700,-73.05165900
41.23393300,-72.99054700
41.20113900,-73.06458900
41.19955000,-73.09133700
41.20529400,-73.09345000
41.21768100,-73.06485000
41.23652600,-73.01939000
41.25154600,-73.05154100
41.22839400,-73.06659900
41.30215600,-72.92878300
41.31313636,-72.93228443
41.29869100,-72.93445600
41.30360000,-72.92040000
41.31115000,-72.93583800
41.30238300,-72.94418500
41.30552900,-72.95271600
41.28448700,-72.93717700
41.33262300,-72.94936600
41.38642300,-73.28526100
41.30818300,-73.02596200
41.66645900,-72.86079800
41.27473900,-73.44448200
41.32574100,-73.53273000
41.66971400,-72.64365100
41.74271400,-72.63680800
41.38383100,-71.86355400
41.67605800,-73.09095500
41.45656100,-72.82421500
41.26660600,-72.95096900
41.86511000,-72.65549200
41.61233400,-72.97756200
41.62375000,-72.78268000
41.18216600,-73.18110000
41.17448300,-73.20131200
41.18206200,-73.20265600
41.17467000,-73.19813700
41.39637400,-73.44314600
41.94604400,-72.52643100
41.18320300,-73.21810300
41.95277000,-72.88452000
41.34662100,-72.93419000
41.30444400,-72.93115100
41.57262800,-73.40732800
41.38979613,-73.20808326
41.50804000,-72.12023000
41.62703900,-72.60255800
41.81907900,-72.58409100
41.62149000,-72.89963600
41.77105700,-72.67902300
41.36501277,-72.58782903
41.18270200,-73.14292600
41.97180700,-72.65987400
41.85432100,-72.44246600
41.49798100,-72.81537900
41.61868000,-73.11028700
41.20723200,-73.20588600
41.17411900,-73.19806700
41.78669400,-72.48228400
41.56351500,-72.65708300
41.30696900,-72.93725900
41.31399700,-72.94759400
41.80554600,-73.11403300
41.34116900,-72.97771900
41.28921073,-72.79753275
41.17296500,-73.20114000
41.60381600,-72.66016300
41.25854200,-73.28645500
41.31937500,-72.93400500
41.29545800,-73.49420900
41.69010400,-72.92535900
