Latitude,Longitude
41.09760400,-73.41894100
41.15482700,-73.37053200
41.65793500,-72.79646600
41.53537200,-72.05553400
41.57410400,-73.02647100
41.18446800,-73.19383600
41.82542200,-72.89573100
41.71727300,-72.22131700
41.81595300,-72.86185000
41.19774200,-73.17669100
41.07639800,-73.47412200
41.48719900,-73.05804200
41.55776100,-73.05263500
41.55447200,-73.03435700
41.36306500,-72.90900200
41.30379300,-72.97399700
41.07610800,-73.49756300
41.67127300,-72.78019500
41.18310000,-73.42384800
41.39659700,-73.45321800
41.37369100,-72.91359900
41.11290000,-73.41530000
41.67001500,-72.87568500
41.27556200,-72.95260200
41.81636400,-72.82893200
41.19515900,-73.18043700
41.17572000,-73.19237500
41.17796100,-73.18830400
41.69063100,-72.92293100
41.32021700,-72.87021000
41.25281200,-72.99999500
41.20120093,-73.11824646
41.80499500,-72.25367000
41.18218400,-73.20860900
41.17036300,-73.20953200
41.17883900,-73.20834600
41.19523000,-73.18194900
41.47833900,-72.90202900
41.33918500,-72.93535100
41.79587300,-73.11836800
41.55286600,-73.05865100
41.56125000,-73.04024400
41.73216000,-72.73049000
41.70025500,-72.60772300
41.55723900,-72.65018800
41.68958600,-72.79683300
41.56483500,-73.05964500
41.13906200,-73.34451200
41.16168800,-73.41889700
41.19173900,-73.19697500
41.49246000,-72.90413200
42.00249200,-72.59676400
41.31601200,-72.91628800
41.11864500,-73.43294600
41.79332900,-71.88003600
41.42331200,-72.10906700
41.88090700,-73.07172500
41.18499300,-73.14306200
41.28779658,-72.67688465
41.36204300,-72.92429400
41.15749800,-73.22645700
41.17916300,-73.18947300
41.19268800,-73.15663200
41.31802100,-72.93358800
41.32129900,-72.87600000
41.55621265,-73.04214426
41.83028400,-72.74666000
41.20797600,-73.19161800
41.17397000,-73.19794500
41.99863700,-72.57460200
41.76617600,-72.55356400
41.30933400,-72.93558700
41.30948000,-72.92324000
41.81509300,-72.25411600
41.55485800,-73.03696400
41.55959978,-73.05339008
41.67706300,-72.90284500
41.41209500,-73.43589100
41.11436400,-73.49336100
41.46766400,-73.00713900
41.30791800,-72.91588000
41.12824600,-73.38213200
